Genotype,Mean_Yield,IPCA1_Score,IPCA2_Score,ASV,PC1_Score,PC2_Score,Yield_Rank,Stability_Rank,Overall_Rank
G39,1656.3798518518513,-90.5359469449123,54.88898443918398,105.87520154397325,654.3002128129638,-35.58761503907879,3.0,1.0,2.0
G63,1657.5002222222222,-150.5836762201475,-138.09632194773295,204.31847121458728,683.91302565009,-86.85637737315241,2.0,2.0,2.0
G49,1691.5187407407411,-200.60122096890882,-214.66247454732897,293.80406367679745,786.9431965153308,-122.7407637103399,1.0,4.0,2.5
G1,1322.9254320987652,-329.978052213599,159.54471665374058,366.52425779858424,-74.3338702182509,-344.02326596534937,5.0,6.0,5.5
G21,1440.6308148148146,426.15061671056526,113.33884572141413,440.9648989117588,121.744201927412,433.5179345148308,4.0,7.0,5.5
G17,934.0370370370365,19.841190210494105,241.05534736697916,241.87053008414233,-978.3502649354838,-76.14985115631211,10.0,3.0,6.5
G43,1159.6099259259265,-186.80488034106995,276.0700689351815,333.33278608789345,-465.91875812788106,-239.59467163808816,9.0,5.0,7.0
G73,1207.3868148148144,446.04050420338984,-59.07761813756081,449.9358802705355,-367.45793356104286,417.55496692956234,7.0,8.0,7.5
G41,1322.874962962963,484.87016862004873,-180.005442287751,517.2050267261943,-95.47684528811588,485.7665456456121,6.0,10.0,8.0
G71,1201.520148148148,-418.3987030558589,-253.0561061961275,488.9732790265441,-265.3629647750199,-431.88690220768297,8.0,9.0,8.5
